type,original_path,title,gsc_clicks,gsc_impressions,status,destination,next_action
page,/,Home,4,419,preserved,same URL,verify at cutover
page,/commrecial-refrigeration-hvac-technicians/,Commercial Refrigeration for HVAC Techs,2,156,preserved,same URL,verify at cutover
page,/nate/,NATE Course,0,57,preserved,same URL,verify at cutover
page,/hvac-boot-camp/,HVAC Boot Camp,0,42,preserved,same URL,verify at cutover
page,/hvac-tech-course/,HVAC Technician Course,0,31,preserved,/hvac-tech-course/,distinct archived course; review status before public cutover
page,/hvac-training-resource-guide/,HVAC Training Resource Guide,0,17,preserved,same URL,verify at cutover
page,/find-out-more/,Let's Connect,0,8,mapped,/contact/,verify at cutover
page,/hvac-boot-camp/monthly-plan/,Boot Camp - Monthly Plan,0,8,unresolved,,checkout blocker: retain WordPress payment/enrollment until tested replacement
page,/self-paced-instructor-guided/,Self Paced or Instructor Guided,0,2,mapped,/how-it-works/,verify at cutover
page,/hvac-boot-camp/brazing-lesson-part-1/,Brazing Lesson - Part 1,0,1,unresolved,,review and preserve teaching content or map to approved replacement
page,/hvac-boot-camp/pay-in-full/,Boot Camp - Pay in Full,0,1,unresolved,,checkout blocker: retain WordPress payment/enrollment until tested replacement
page,/blog/,HVAC Training Articles,0,0,preserved,same URL,verify at cutover
page,/boot-camp-webinar-registration-form/,Boot Camp Webinar Registration Form,0,0,unresolved,,"review old clone, webinar, form, or test page for a redirect or retirement"
page,/boot-camp-webinar-registration-form/boot-camp-webinar-thank-you/,Boot Camp Webinar Thank You,0,0,unresolved,,"review old clone, webinar, form, or test page for a redirect or retirement"
page,/boot-camp-webinar-registration-form/boot-camp-webinar-thank-you/boot-camp-webinar/,Boot Camp Webinar,0,0,unresolved,,"review old clone, webinar, form, or test page for a redirect or retirement"
page,/boot-camp-webinar-registration-form/boot-camp-webinar-thank-you/boot-camp-webinar/boot-camp-webinar-special-offer-expired/,Boot Camp - Webinar | Special Offer | Expired,0,0,unresolved,,"review old clone, webinar, form, or test page for a redirect or retirement"
page,/boot-camp-webinar-registration-form/boot-camp-webinar-thank-you/boot-camp-webinar/boot-camp-webinar-special-offer/,Boot Camp - Webinar | Special Offer,0,0,unresolved,,"review old clone, webinar, form, or test page for a redirect or retirement"
page,/faq/,faq-op3,0,0,mapped,/how-it-works/,verify at cutover
page,/hvac-boot-camp-2/,HVAC Boot Camp,0,0,mapped,/hvac-boot-camp/,verify at cutover
page,/hvac-boot-camp-az-cloned-at-2021-02-07-194857/,HVAC Boot Camp AZ | Cloned at: 2021-02-07 19:48:57,0,0,unresolved,,"review old clone, webinar, form, or test page for a redirect or retirement"
page,/hvac-boot-camp-cloned-at-2021-02-07-190841/,HVAC Boot Camp AZ,0,0,unresolved,,"review old clone, webinar, form, or test page for a redirect or retirement"
page,/hvac-boot-camp-meet-your-instructor/,HVAC Boot Camp - Meet Your Instructor,0,0,mapped,/about/,verify at cutover
page,/hvac-boot-camp/boot-camp-monthly-plan-cloned-at-2022-07-11-154924/,Boot Camp - Monthly Plan | Cloned at: 2022-07-11 15:49:24,0,0,unresolved,,checkout blocker: retain WordPress payment/enrollment until tested replacement
page,/hvac-boot-camp/boot-camp-self-paced-enrollment-special/,Boot Camp - Self Paced Enrollment | Special Offer,0,0,unresolved,,checkout blocker: retain WordPress payment/enrollment until tested replacement
page,/hvac-boot-camp/brazing-lesson-part-2/,Brazing Lesson - Part 2,0,0,unresolved,,review and preserve teaching content or map to approved replacement
page,/hvac-boot-camp/brazing-lesson-part-3/,Brazing Lesson - Part 3,0,0,unresolved,,review and preserve teaching content or map to approved replacement
page,/hvac-boot-camp/course-purchase/,Thank You,0,0,unresolved,,same-path thank-you page built in development; verify PayPal returns and manual Moodle handoff
